Percentage served,Time in ms
0,2001.620
1,2001.620
2,2001.620
3,2001.719
4,2001.719
5,2001.719
6,2001.719
7,2001.719
8,2001.730
9,2001.730
10,2001.730
11,2001.730
12,2001.730
13,2001.817
14,2001.817
15,2001.817
16,2001.817
17,2001.817
18,2002.105
19,2002.105
20,2002.105
21,2002.105
22,2002.105
23,2002.246
24,2002.246
25,2002.246
26,2002.246
27,2002.246
28,2002.279
29,2002.279
30,2002.279
31,2002.279
32,2002.279
33,2002.391
34,2002.391
35,2002.391
36,2002.391
37,2002.391
38,2002.459
39,2002.459
40,2002.459
41,2002.459
42,2002.459
43,2002.491
44,2002.491
45,2002.491
46,2002.491
47,2002.491
48,2002.537
49,2002.537
50,2002.537
51,2002.537
52,2002.537
53,2002.588
54,2002.588
55,2002.588
56,2002.588
57,2002.588
58,2002.605
59,2002.605
60,2002.605
61,2002.605
62,2002.605
63,2002.723
64,2002.723
65,2002.723
66,2002.723
67,2002.723
68,2002.735
69,2002.735
70,2002.735
71,2002.735
72,2002.735
73,2002.780
74,2002.780
75,2002.780
76,2002.780
77,2002.780
78,2002.795
79,2002.795
80,2002.795
81,2002.795
82,2002.795
83,2002.996
84,2002.996
85,2002.996
86,2002.996
87,2002.996
88,2003.027
89,2003.027
90,2003.027
91,2003.027
92,2003.027
93,2003.524
94,2003.524
95,2003.524
96,2003.524
97,2003.524
98,0.000
99,0.000
100,2003.524
