Percentage served,Time in ms
0,2005.772
1,2005.772
2,2006.484
3,2006.484
4,2006.484
5,2006.692
6,2006.692
7,2006.692
8,2006.692
9,2006.830
10,2006.830
11,2006.830
12,2006.912
13,2006.912
14,2006.912
15,2006.937
16,2006.937
17,2006.937
18,2006.937
19,2006.953
20,2006.953
21,2006.953
22,2007.027
23,2007.027
24,2007.027
25,2007.118
26,2007.118
27,2007.118
28,2007.118
29,2007.126
30,2007.126
31,2007.126
32,2007.148
33,2007.148
34,2007.148
35,2007.175
36,2007.175
37,2007.175
38,2007.175
39,2007.213
40,2007.213
41,2007.213
42,2007.217
43,2007.217
44,2007.217
45,2007.223
46,2007.223
47,2007.223
48,2007.223
49,2007.399
50,2007.399
51,2007.399
52,2007.432
53,2007.432
54,2007.432
55,2007.436
56,2007.436
57,2007.436
58,2007.436
59,2007.444
60,2007.444
61,2007.444
62,2007.480
63,2007.480
64,2007.480
65,2007.490
66,2007.490
67,2007.490
68,2007.490
69,2007.555
70,2007.555
71,2007.555
72,2007.567
73,2007.567
74,2007.567
75,2007.678
76,2007.678
77,2007.678
78,2007.678
79,2007.702
80,2007.702
81,2007.702
82,2007.730
83,2007.730
84,2007.730
85,2007.762
86,2007.762
87,2007.762
88,2007.762
89,2007.776
90,2007.776
91,2007.776
92,2007.808
93,2007.808
94,2007.808
95,2008.111
96,2008.111
97,2008.111
98,2008.111
99,140337874994.608
100,2008.111
