1000,2.059,1.408,0.058000000000000274,6.076,4.013000000000001,4.054
2000,2.074,0.9820000000000002,0.016000000000000014,12.063,7.970999999999998,9.967
3000,2.12,0.94,0.04499999999999993,16.1,13.943999999999999,13.964000000000002
4000,2.169,0.8399999999999999,0.040999999999999925,22.113,17.948999999999998,19.923
5000,2.189,0.8700000000000001,0.03600000000000003,26.157,23.913999999999998,23.941
6000,2.264,0.02900000000000036,0.07799999999999985,32.152,28.122999999999998,29.891000000000002
7000,2.299,0.028000000000000025,0.08699999999999974,36.237,34.099,33.897000000000006
8000,2.351,0.6779999999999999,0.10599999999999987,42.192,38.135,39.838
9000,2.366,0.681,0.09600000000000009,46.233,44.043,43.831999999999994
10000,2.407,0.6229999999999998,0.11399999999999988,52.251,48.13100000000001,49.814
11000,2.461,0.04899999999999993,0.11899999999999977,56.334,53.916,53.852000000000004
12000,2.479,0.5589999999999997,0.1200000000000001,62.283,58.129999999999995,59.753
13000,2.532,0.4710000000000001,0.13600000000000012,66.397,62.15999999999998,63.86800000000001
14000,2.565,0.4820000000000002,0.1469999999999998,73.475,57.691,69.713
15000,4.499,0.3460000000000001,2.038,78.053,51.493,73.725
16000,6.765,0.09500000000000064,4.276999999999999,86.083,43.441,79.675
17000,9.075,0.5030000000000001,6.547999999999999,96.964,36.614000000000004,82.62899999999999
18000,11.417,0.3650000000000002,8.876,114.736,24.423999999999992,106.32000000000001
19000,13.802,0.10299999999999976,11.224,116.578,28.49799999999999,107.718
